	Sequential	OpenMP		C++ threads
10K	0.570975	0.303717 	0.626982
20K	2.28975		1.2177	   	2.03676
40K	9.36345		4.96558	  	6.58968
60K	20.5258		11.2975	   	13.5314
80K	36.2202		19.3299	   	22.6715
100K	57.2008		33.4591	   	37.2217
200K	268.921		159.665	   	178.462
400K	1057.95		634.811	   	659.144
600K	2704.74		1439.68	   	1419.32
800K	3929.5		2561.28	   	2537.88
1M
